Hotel,LT,ADM,ADWM
0.0,0.16786570743405274,0.7,0.6666666666666666
1.0,0.22781774580335729,0.0,0.0
0.0,0.07913669064748201,1.0000000000000002,0.9999999999999999
0.0,1.0,0.7,0.7435897435897435
1.0,0.237410071942446,0.2,0.15384615384615385
1.0,0.2733812949640288,0.9000000000000001,0.923076923076923
0.0,0.5707434052757794,0.6000000000000001,0.5897435897435898
0.0,0.4292565947242206,0.5,0.41025641025641024
1.0,0.09832134292565947,0.6000000000000001,0.6153846153846153
1.0,0.043165467625899276,0.8,0.8205128205128204
0.0,0.23501199040767384,0.2,0.17948717948717946
0.0,0.05995203836930455,0.3,0.23076923076923073
1.0,0.36930455635491605,0.5,0.5128205128205128
0.0,0.2829736211031175,0.4000000000000001,0.33333333333333337
1.0,0.026378896882494004,0.8,0.8461538461538461
1.0,0.2541966426858513,0.7,0.7435897435897435
1.0,0.17985611510791363,0.3,0.28205128205128205
0.0,0.5515587529976019,0.3,0.2564102564102564
1.0,0.023980815347721823,0.5,0.4358974358974359
0.0,0.0,0.10000000000000003,0.051282051282051266
